building_id,xml_filename,should_run_simulation,OccupancyClassification,FloorArea,YearOfConstruction,YearOfLastMajorRemodel,SiteEUI,SourceEUI,YearEUI,Simulation Status,do simulations?,do get results?
151,151.xml,1,Retail,69452,1954,2003,254,614,2015,true,false,true
223,223.xml,1,Office,16775,1967,2009,55,142,2015,true,false,true
237,237.xml,0,Retail,16302,1967,2009,28,89,2015
377,377.xml,0,Retail,46743,2002,2012,,,
463,463.xml,0,Retail,67690,2010,2016,56,166,2015
473,473.xml,0,Retail,34253,2002,2013,123,386,2014
484,484.xml,0,Office,53750,,2013,67,211,2015
557,557.xml,0,Retail,36120,1986,2003,194,531,2015
644,644.xml,0,Retail,16359,1917,2012,,,
759,759.xml,0,Office,56576,1955,,,,
798,798.xml,0,Retail,19495,1968,2007,,,
816,816.xml,0,Retail,27725,2008,2012,291,685,2015
923,923.xml,0,Retail,31712,1952,2011,15,39,2014
1015,1015.xml,0,Retail,23520,1996,1999,69,218,2015
1032,1032.xml,0,Office,22650,1929,2002,,,
1090,1090.xml,0,Office,69204,1969,1999,108,227,2015
1142,1142.xml,0,Office,21000,1981,,41,122,2015
1152,1152.xml,0,Retail,22846,1947,1994,37,111,2015
1202,1202.xml,0,Office,17263,1960,2014,,,
1270,1270.xml,0,Office,41680,1924,2008,1412,4434,2015
1272,1272.xml,0,Office,43366,1970,,82,165,2015
1322,1322.xml,0,Office,39796,1907,2000,41,108,2015
1337,1337.xml,0,Office,30000,1948,1998,114,238,2015
1391,1391.xml,0,Office,57131,1937,2012,28,89,2015
1405,1405.xml,0,Retail,24284,1963,2002,,,
1419,1419.xml,0,Office,33626,1942,2014,128,260,2015
1443,1443.xml,0,Retail,56718,1923,2003,,,
1444,1444.xml,0,Retail,25194,1927,2014,56,148,2015
1479,1479.xml,0,Retail,18579,1922,2010,,,
1481,1481.xml,0,Office,47669,1936,,,,
1494,1494.xml,0,Office,20146,1961,2016,93,291,2015
1497,1497.xml,0,Office,59639,,2006,47,129,2015
1528,1528.xml,0,Retail,29402,1925,2016,,,
1538,1538.xml,0,Retail,24627,1953,2011,66,172,2015
1558,1558.xml,0,Retail,23060,1961,2012,279,690,2015
1574,1574.xml,0,Office,57171,1908,1998,9,26,2015
1577,1577.xml,0,Office,18462,1951,,,,
1584,1584.xml,0,Retail,20058,1931,1996,,,
1598,1598.xml,0,Retail,29221,1930,2010,25,60,2015
1602,1602.xml,0,Office,52182,1906,2011,32,96,2015
1627,1627.xml,0,Office,56382,1912,2009,46,94,2015
1668,1668.xml,0,Retail,23872,,1999,,,
1715,1715.xml,0,Retail,17980,1949,1994,146,443,2015
1720,1720.xml,0,Office,28903,1921,2012,,,
1730,1730.xml,0,Office,66732,1982,2010,81,194,2015
1734,1734.xml,0,Office,31120,1986,2012,10,33,2015
1738,1738.xml,0,Office,48200,1922,1999,74,169,2015
1747,1747.xml,0,Retail,13526,1960,2002,,,
1752,1752.xml,0,Office,39166,1999,2012,,,
1796,1796.xml,0,Office,48000,1927,2010,50,131,2015
1817,1817.xml,0,Office,46473,1913,2002,242,468,2015
1826,1826.xml,0,Retail,61407,1909,2008,144,320,2015
1853,1853.xml,0,Office,26069,1968,2014,,,
1860,1860.xml,0,Office,61600,1908,2016,20,58,2013
1866,1866.xml,0,Retail,43128,1949,2011,,,
1884,1884.xml,0,Retail,45220,1913,2013,,,
1896,1896.xml,0,Office,41226,1904,2016,34,105,2014
1908,1908.xml,0,Office,30480,1923,,65,196,2015
1921,1921.xml,0,Office,30000,1906,1995,82,255,2015
1941,1941.xml,0,Office,65150,1917,2010,67,,2011
1998,1998.xml,0,Retail,22243,1922,2015,97,219,2015
2011,2011.xml,0,Retail,33310,1907,2014,,,
2035,2035.xml,0,Retail,13905,2000,2003,114,330,2015
2054,2054.xml,0,Office,31968,1920,,3,5,2015
2055,2055.xml,0,Office,67000,1990,,,,
