building_id,xml_filename,should_run_simulation,OccupancyClassification
223,223.xml,1,Office
484,484.xml,1,Office
759,759.xml,1,Office
1032,1032.xml,1,Office
1090,1090.xml,1,Office
1142,1142.xml,1,Office
1202,1202.xml,1,Office
1270,1270.xml,1,Office
1272,1272.xml,1,Office
1322,1322.xml,1,Office
1337,1337.xml,1,Office
1391,1391.xml,1,Office
1419,1419.xml,1,Office
1481,1481.xml,1,Office
1494,1494.xml,1,Office
1497,1497.xml,1,Office
1574,1574.xml,1,Office
1577,1577.xml,0,Office
1602,1602.xml,0,Office
1627,1627.xml,0,Office
1720,1720.xml,0,Office
1730,1730.xml,0,Office
1734,1734.xml,0,Office
1738,1738.xml,0,Office
1752,1752.xml,0,Office
1796,1796.xml,0,Office
1817,1817.xml,0,Office
1853,1853.xml,0,Office
1860,1860.xml,0,Office
1896,1896.xml,0,Office
1908,1908.xml,0,Office
1921,1921.xml,0,Office
1941,1941.xml,0,Office
2054,2054.xml,0,Office
2055,2055.xml,0,Office
2097,2097.xml,0,Office
2144,2144.xml,0,Office
2147,2147.xml,0,Office
2165,2165.xml,0,Office
2223,2223.xml,0,Office
2238,2238.xml,0,Office
2241,2241.xml,0,Office
2272,2272.xml,0,Office
2289,2289.xml,0,Office
2290,2290.xml,0,Office
2429,2429.xml,0,Office
2445,2445.xml,0,Office
2508,2508.xml,0,Office
2531,2531.xml,0,Office
2584,2584.xml,0,Office
2598,2598.xml,0,Office
2621,2621.xml,0,Office
2657,2657.xml,0,Office
2680,2680.xml,0,Office
2695,2695.xml,0,Office
2796,2796.xml,0,Office
2821,2821.xml,0,Office
2840,2840.xml,0,Office
2848,2848.xml,0,Office
2852,2852.xml,0,Office
2950,2950.xml,0,Office
2987,2987.xml,0,Office
2992,2992.xml,0,Office
3005,3005.xml,0,Office
3009,3009.xml,0,Office
3024,3024.xml,0,Office
3080,3080.xml,0,Office
3107,3107.xml,0,Office
3152,3152.xml,0,Office
3153,3153.xml,0,Office
3193,3193.xml,0,Office
3237,3237.xml,0,Office
3286,3286.xml,0,Office
3304,3304.xml,0,Office
3335,3335.xml,0,Office
3337,3337.xml,0,Office
3424,3424.xml,0,Office
3517,3517.xml,0,Office
3549,3549.xml,0,Office
3564,3564.xml,0,Office
3608,3608.xml,0,Office
3614,3614.xml,0,Office
3622,3622.xml,0,Office
3671,3671.xml,0,Office
3684,3684.xml,0,Office
3727,3727.xml,0,Office
3764,3764.xml,0,Office
3769,3769.xml,0,Office
3804,3804.xml,0,Office
3809,3809.xml,0,Office
