building_id,xml_filename,should_run_simulation,OccupancyClassification,FloorArea(ft2),YearBuilt,template,SiteEUI(kBtu/ft2),SourceEUI(kBtu/ft2),ElectricityEUI(kBtu/ft2),GasEUI(kBtu/ft2),YearEUI
17322,17322.xml,1,Office,9000,1998,CEC T24 1992,,,,,
17391,17391.xml,1,Retail,5400,2000,CEC T24 1992,,,,,
17412,17412.xml,1,Retail,1825,1922,CEC Pre-1978,,,,,
17415,17415.xml,1,Retail,1650,1996,CEC T24 1992,,,,,
17420,17420.xml,1,Retail,2430,1924,CEC Pre-1978,,,,,
17426,17426.xml,1,Retail,5000,2000,CEC T24 1992,,,,,
17430,17430.xml,1,Retail,3230,2015,CEC T24 2008,,,,,
17435,17435.xml,1,Office,4783,1974,CEC Pre-1978,,,,,
17448,17448.xml,1,Retail,2238,1997,CEC T24 1992,,,,,
17453,17453.xml,1,Retail,3675,1925,CEC Pre-1978,,,,,
17465,17465.xml,1,Office,5980,1996,CEC T24 1992,,,,,
17485,17485.xml,1,Retail,3508,2011,CEC T24 2008,,,,,
17519,17519.xml,1,Retail,2324,2014,CEC T24 2008,,,,,
17555,17555.xml,1,Retail,3550,1902,CEC Pre-1978,,,,,
17565,17565.xml,1,Office,1235,2011,CEC T24 2008,,,,,
17599,17599.xml,1,Retail,2700,1920,CEC Pre-1978,,,,,
17600,17600.xml,1,Retail,2850,1929,CEC Pre-1978,,,,,
17615,17615.xml,1,Retail,2875,2012,CEC T24 2008,,,,,
17641,17641.xml,1,Retail,8420,2008,CEC T24 2008,,,,,
17651,17651.xml,1,Retail,1411,1908,CEC Pre-1978,,,,,
17669,17669.xml,1,Retail,5036,1996,CEC T24 1992,,,,,
17699,17699.xml,1,Retail,1690,1997,CEC T24 1992,,,,,
17704,17704.xml,1,Retail,2944,1997,CEC T24 1992,,,,,
17728,17728.xml,1,Retail,4565,1920,CEC Pre-1978,,,,,
17738,17738.xml,1,Retail,2250,1959,CEC Pre-1978,,,,,
17776,17776.xml,1,Retail,4800,2000,CEC T24 1992,,,,,
17785,17785.xml,1,Retail,1875,2016,CEC T24 2008,,,,,
17804,17804.xml,1,Retail,1500,1950,CEC Pre-1978,,,,,
17818,17818.xml,1,Retail,1650,1934,CEC Pre-1978,,,,,
17872,17872.xml,1,Retail,2106,1997,CEC T24 1992,,,,,
17886,17886.xml,1,Office,1500,2015,CEC T24 2008,,,,,
17887,17887.xml,1,Retail,2500,1948,CEC Pre-1978,,,,,
17902,17902.xml,1,Retail,2195,2010,CEC T24 2008,,,,,
17941,17941.xml,1,Retail,2100,2010,CEC T24 2008,,,,,
17973,17973.xml,1,Retail,4261,1982,CEC T24 1978,,,,,
17999,17999.xml,1,Retail,2981,2014,CEC T24 2008,,,,,
18015,18015.xml,1,Retail,2420,1997,CEC T24 1992,,,,,
18027,18027.xml,1,Retail,2024,1998,CEC T24 1992,,,,,
18034,18034.xml,1,Retail,2500,2014,CEC T24 2008,,,,,
18035,18035.xml,1,Retail,3565,2011,CEC T24 2008,,,,,
18039,18039.xml,1,Retail,4000,2014,CEC T24 2008,,,,,
18046,18046.xml,1,Office,2227,1996,CEC T24 1992,,,,,
