building_id,xml_filename,should_run_simulation,OccupancyClassification,FloorArea(ft2),YearBuilt,template,SiteEUI(kBtu/ft2),SourceEUI(kBtu/ft2),ElectricityEUI(kBtu/ft2),GasEUI(kBtu/ft2),YearEUI
6546,6546.xml,1,Retail,5500,1922,CBES Pre-1978,,,,,
6550,6550.xml,1,Retail,5755,1930,CBES Pre-1978,,,,,
6640,6640.xml,1,Retail,4841,2015,CBES T24 2008,,,,,
6648,6648.xml,1,Office,15975,2015,CBES T24 2008,,,,,
6661,6661.xml,1,Retail,4554,1967,CBES Pre-1978,157,292,60.83732057,96.16267943,2015
6688,6688.xml,1,Retail,5508,2007,CBES T24 2005,,,,,
6703,6703.xml,1,Retail,5292,2004,CBES T24 2001,,,,,
6707,6707.xml,1,Office,5228,2011,CBES T24 2008,,,,,
6728,6728.xml,1,Office,51522,2015,CBES T24 2008,37,82,20.64593301,16.35406699,2015
6772,6772.xml,1,Office,10800,2011,CBES T24 2008,58,164,49.33014354,8.669856459,2015
6781,6781.xml,1,Retail,5564,2015,CBES T24 2008,,,,,
6789,6789.xml,1,Office,22330,2011,CBES T24 2008,82,168,39.18660287,42.81339713,2015
6793,6793.xml,1,Retail,5336,1907,CBES Pre-1978,,,,,
6797,6797.xml,1,Office,6000,2009,CBES T24 2008,,,,,
6805,6805.xml,1,Retail,6118,2014,CBES T24 2008,,,,,
6824,6824.xml,1,Office,5793,1931,CBES Pre-1978,,,,,
6832,6832.xml,1,Retail,5500,1922,CBES Pre-1978,,,,,
6857,6857.xml,1,Retail,8834,1997,CBES T24 1992,,,,,
6875,6875.xml,1,Office,7203,2010,CBES T24 2008,,,,,
6881,6881.xml,1,Retail,5313,2015,CBES T24 2008,,,,,
6904,6904.xml,1,Office,4991,2010,CBES T24 2008,,,,,
6920,6920.xml,1,Retail,5645,2007,CBES T24 2005,,,,,
6963,6963.xml,1,Office,8000,2014,CBES T24 2008,,,,,
7013,7013.xml,1,Retail,4500,2014,CBES T24 2008,,,,,
7022,7022.xml,1,Retail,10300,2006,CBES T24 2005,,,,,
7072,7072.xml,1,Retail,7770,2000,CBES T24 1992,,,,,
7121,7121.xml,1,Office,39384,1908,CBES Pre-1978,102,137,14.3062201,87.6937799,2015
7126,7126.xml,1,Retail,10450,2011,CBES T24 2008,27,47,8.923444976,18.07655502,2015
7139,7139.xml,1,Retail,5750,1938,CBES Pre-1978,,,,,
7156,7156.xml,1,Retail,5665,1994,CBES T24 1992,,,,,
7161,7161.xml,1,Retail,4800,2001,CBES T24 2001,,,,,
7164,7164.xml,1,Retail,21720,2006,CBES T24 2005,,,,,
7192,7192.xml,1,Retail,5000,1996,CBES T24 1992,,,,,
7207,7207.xml,1,Retail,5000,2016,CBES T24 2008,,,,,
7223,7223.xml,1,Office,22687,2015,CBES T24 2008,44,120,35.31100478,8.688995215,2015
7236,7236.xml,1,Office,6500,2015,CBES T24 2008,,,,,
7242,7242.xml,1,Retail,5950,2014,CBES T24 2008,,,,,
7265,7265.xml,1,Retail,5000,1980,CBES T24 1978,,,,,
7278,7278.xml,1,Office,6079,1999,CBES T24 1992,,,,,
7290,7290.xml,1,Office,11256,2009,CBES T24 2008,,,,,
7315,7315.xml,1,Office,5000,2014,CBES T24 2008,,,,,
7321,7321.xml,1,Retail,4400,1987,CBES T24 1978,,,,,
7333,7333.xml,1,Office,9360,2011,CBES T24 2008,,,,,
7336,7336.xml,1,Retail,14400,1999,CBES T24 1992,40,111,33.01435407,6.985645933,2015
7353,7353.xml,1,Retail,4817,2016,CBES T24 2008,,,,,
7355,7355.xml,1,Office,3220,1907,CBES Pre-1978,,,,,
7359,7359.xml,1,Retail,1736,2015,CBES T24 2008,,,,,
7362,7362.xml,1,Office,25955,2006,CBES T24 2005,44,91,21.4354067,22.5645933,2015
7363,7363.xml,1,Retail,5000,1913,CBES Pre-1978,,,,,
7371,7371.xml,1,Office,15783,2014,CBES T24 2008,19,50,14.37799043,4.622009569,2015
7373,7373.xml,1,Retail,8635,2013,CBES T24 2008,,,,,
7398,7398.xml,1,Retail,6265,1955,CBES Pre-1978,,,,,
7400,7400.xml,1,Office,8100,2013,CBES T24 2008,,,,,
7430,7430.xml,1,Retail,5384,1994,CBES T24 1992,,,,,
7469,7469.xml,1,Office,6015,2000,CBES T24 1992,,,,,
7472,7472.xml,1,Office,10200,2013,CBES T24 2008,49,108,27.05741627,21.94258373,2013
7474,7474.xml,1,Retail,7500,1978,CBES T24 1978,,,,,
7483,7483.xml,1,Office,29400,2006,CBES T24 2005,,,,,
7494,7494.xml,1,Office,10980,2010,CBES T24 2008,62,141,36.31578947,25.68421053,2015
7495,7495.xml,1,Retail,10129,2009,CBES T24 2008,,,,,
7504,7504.xml,1,Retail,1749,1999,CBES T24 1992,,,,,
7507,7507.xml,1,Retail,5040,2001,CBES T24 2001,,,,,
7508,7508.xml,1,Retail,5000,2007,CBES T24 2005,,,,,
7514,7514.xml,1,Retail,4899,1900,CBES Pre-1978,,,,,
7524,7524.xml,1,Retail,4750,1998,CBES T24 1992,,,,,
7548,7548.xml,1,Retail,4600,1912,CBES Pre-1978,,,,,
7562,7562.xml,1,Retail,5200,1999,CBES T24 1992,,,,,
7575,7575.xml,1,Office,26808,2006,CBES T24 2005,33,84,23.61244019,9.387559809,2015
7591,7591.xml,1,Office,36724,2007,CBES T24 2005,103,169,29.11483254,73.88516746,2015
7594,7594.xml,1,Office,11980,1908,CBES Pre-1978,34,108,34.59330144,-0.593301435,2015
7607,7607.xml,1,Retail,16131,2010,CBES T24 2008,,,,,
7614,7614.xml,1,Retail,9055,2009,CBES T24 2008,,,,,
7619,7619.xml,1,Retail,20640,2000,CBES T24 1992,,,,,
7641,7641.xml,1,Office,11180,1918,CBES Pre-1978,39,88,22.51196172,16.48803828,2015
7647,7647.xml,1,Retail,10000,2000,CBES T24 1992,,,,,
7658,7658.xml,1,Retail,5793,1999,CBES T24 1992,,,,,
7663,7663.xml,1,Retail,4984,1999,CBES T24 1992,,,,,
7671,7671.xml,1,Retail,4606,1924,CBES Pre-1978,,,,,
7679,7679.xml,1,Office,9752,2016,CBES T24 2008,,,,,
7684,7684.xml,1,Retail,6169,2007,CBES T24 2005,,,,,
7696,7696.xml,1,Office,7273,1972,CBES Pre-1978,,,,,
7700,7700.xml,1,Retail,15560,2016,CBES T24 2008,,,,,
7701,7701.xml,1,Office,17808,2008,CBES T24 2008,21,56,16.24401914,4.755980861,2015
7712,7712.xml,1,Office,6335,2000,CBES T24 1992,,,,,
7719,7719.xml,1,Retail,14400,1923,CBES Pre-1978,13,29,7.344497608,5.655502392,2015
7726,7726.xml,1,Retail,4940,1912,CBES Pre-1978,,,,,
7731,7731.xml,1,Retail,5000,1947,CBES Pre-1978,,,,,
7741,7741.xml,1,Retail,6369,1999,CBES T24 1992,,,,,
7765,7765.xml,1,Retail,8479,2015,CBES T24 2008,,,,,
7773,7773.xml,1,Retail,7765,2014,CBES T24 2008,,,,,
7779,7779.xml,1,Office,5000,2009,CBES T24 2008,,,,,
7785,7785.xml,1,Retail,5095,2004,CBES T24 2001,,,,,
7801,7801.xml,1,Retail,13950,1907,CBES Pre-1978,346,456,44.35406699,301.645933,2015
7804,7804.xml,1,Retail,5000,1939,CBES Pre-1978,,,,,
7812,7812.xml,1,Office,13840,2006,CBES T24 2005,14,38,11.14832536,2.851674641,2015
7827,7827.xml,1,Retail,5000,2014,CBES T24 2008,,,,,
7835,7835.xml,1,Retail,5525,2005,CBES T24 2005,,,,,
7858,7858.xml,1,Retail,4950,1999,CBES T24 1992,,,,,
7871,7871.xml,1,Office,3657,2006,CBES T24 2005,48,110,28.51674641,19.48325359,2015
7874,7874.xml,1,Retail,6634,2008,CBES T24 2008,,,,,
7907,7907.xml,1,Retail,3667,2015,CBES T24 2008,,,,,
7942,7942.xml,1,Retail,4920,1999,CBES T24 1992,,,,,
7945,7945.xml,1,Office,9500,2012,CBES T24 2008,,,,,
7984,7984.xml,1,Office,4565,1999,CBES T24 1992,,,,,
8011,8011.xml,1,Retail,5828,2010,CBES T24 2008,,,,,
8060,8060.xml,1,Office,14568,1999,CBES T24 1992,36,92,25.93301435,10.06698565,2015
8066,8066.xml,1,Retail,4845,2010,CBES T24 2008,,,,,
8095,8095.xml,1,Office,4800,2008,CBES T24 2008,,,,,
8115,8115.xml,1,Office,18159,2015,CBES T24 2008,,,,,
8137,8137.xml,1,Retail,10005,1913,CBES Pre-1978,,,,,
8149,8149.xml,1,Retail,14750,2015,CBES T24 2008,,,,,
8171,8171.xml,1,Retail,4598,2003,CBES T24 2001,,,,,
8182,8182.xml,1,Retail,10750,2014,CBES T24 2008,,,,,
8194,8194.xml,1,Office,10716,1999,CBES T24 1992,,,,,
8202,8202.xml,1,Retail,6175,2001,CBES T24 2001,,,,,
8227,8227.xml,1,Office,5350,1975,CBES Pre-1978,,,,,
8232,8232.xml,1,Retail,5650,1974,CBES Pre-1978,,,,,
8238,8238.xml,1,Office,5761,1974,CBES Pre-1978,,,,,
8327,8327.xml,1,Retail,2800,2007,CBES T24 2005,,,,,
8334,8334.xml,1,Office,15000,2007,CBES T24 2005,,,,,
8346,8346.xml,1,Retail,4649,1998,CBES T24 1992,,,,,
8359,8359.xml,1,Retail,5085,1934,CBES Pre-1978,,,,,
8362,8362.xml,1,Office,15350,2005,CBES T24 2005,,,,,
8370,8370.xml,1,Retail,4500,1934,CBES Pre-1978,,,,,
