building_id,xml_filename,should_run_simulation,OccupancyClassification,FloorArea(ft2),YearBuilt,template,SiteEUI(kBtu/ft2),SourceEUI(kBtu/ft2),ElectricityEUI(kBtu/ft2),GasEUI(kBtu/ft2),YearEUI
109024,109024.xml,1,Retail,2346,1975,CBES Pre-1978,,,,,
21182,21182.xml,1,Retail,4500,1979,CBES T24 1978,,,,,
1152,1152.xml,1,Retail,22846,1994,CBES T24 1992,37,111,34.5215311,2.4784689,2015
2035,2035.xml,1,Retail,13905,2003,CBES T24 2001,114,330,100.6220096,13.37799043,2015
19717,19717.xml,1,Retail,2375,2007,CBES T24 2005,,,,,
6474,6474.xml,1,Retail,15960,2010,CBES T24 2008,,,,,
6288,6288.xml,1,Office,1235,1953,CBES Pre-1978,,,,,
25799,25799.xml,1,Office,3000,1984,CBES T24 1978,,,,,
84777,84777.xml,1,Office,3955,2000,CBES T24 1992,,,,,
20192,20192.xml,1,Office,4500,2001,CBES T24 2001,,,,,
40185,40185.xml,1,Office,5250,2005,CBES T24 2005,,,,,
9095,9095.xml,1,Office,8000,2015,CBES T24 2008,,,,,
5789,5789.xml,1,Office,59786,1908,CBES Pre-1978,41,129,41.12440191,-0.124401914,2015
1142,1142.xml,1,Office,21000,1981,CBES T24 1978,41,122,37.77511962,3.224880383,2015
2165,2165.xml,1,Office,22000,1999,CBES T24 1992,92,246,71.48325359,20.51674641,2015
2097,2097.xml,1,Office,28000,2004,CBES T24 2001,,,,,
4844,4844.xml,1,Office,44000,2005,CBES T24 2005,56,103,21.14832536,34.85167464,2012
6430,6430.xml,1,Office,56933,2013,CBES T24 2008,41,123,38.25358852,2.746411483,2015
