building_id,xml_filename,should_run_simulation,OccupancyClassification,Address,BuildingName,ParcelNumber,FloorArea(ft2),YearBuilt,template,SiteEUI(kBtu/ft2),SourceEUI(kBtu/ft2),ElectricityEUI(kBtu/ft2),GasEUI(kBtu/ft2),YearEUI
1860,1860.xml,1,Office,1088 - 1090 SANSOME ST,1088 Sansome [1088 - 1090 SANSOME ST],SF0135009,61600,2016,CBES T24 2008,20,58,17.70334928,2.296650718,2013
1866,1866.xml,1,Retail,1815 - 1825 MISSION ST,Building [1815 - 1825 MISSION ST],SF3548038,43128,2011,CBES T24 2008,,,,,
1884,1884.xml,1,Retail,1600 - 1600 VAN NESS AVE,1600 VAN NESS AVE [1600 - 1600 VAN NESS AVE],SF0643018,45220,2013,CBES T24 2008,,,,,
1896,1896.xml,1,Office,1000 - 1000 SANSOME ST,1000 SANSOME ST [1000 - 1000 SANSOME ST],SF0135007,41226,2016,CBES T24 2008,34,105,33.15789474,0.842105263,2014
1908,1908.xml,1,Office,577 - 599 02ND ST,577 2ND ST [577 - 599 02ND ST],SF3774031,30480,1923,CBES Pre-1978,65,196,61.12440191,3.875598086,2015
1921,1921.xml,1,Office,1075 - 1075 FRONT ST,One Union [1075 - 1075 FRONT ST],SF0111001,30000,1995,CBES T24 1992,82,255,80.81339713,1.186602871,2015
1941,1941.xml,1,Office,400 - 400 02ND ST,400 2ND ST [400 - 400 02ND ST],SF3763001,65150,2010,CBES T24 2008,67,,,,2011
1998,1998.xml,1,Retail,429 - 431 CASTRO ST,429 CASTRO ST [429 - 431 CASTRO ST],SF3582085,22243,2015,CBES T24 2008,97,219,56.05263158,40.94736842,2015
2011,2011.xml,1,Retail,1028 - 1056 MARKET ST,Building [1028 - 1056 MARKET ST],SF0350002,33310,2014,CBES T24 2008,,,,,
2035,2035.xml,1,Retail,5300 - 5300 03RD ST,5487-SAN FRANCISCO; CA [5300 - 5300 03RD ST],SF5414031,13905,2003,CBES T24 2001,114,330,100.6220096,13.37799043,2015
2054,2054.xml,1,Office,888 - 888 POST ST,888 Post Street [888 - 888 POST ST],SF0300009,31968,1920,CBES Pre-1978,3,5,0.885167464,2.114832536,2015
2055,2055.xml,1,Office,1650 - 1660 MISSION ST,Building [1650 - 1660 MISSION ST],SF3512005,67000,1990,CBES T24 1978,,,,,
2091,2091.xml,1,Retail,565 - 565 SOUTH VAN NESS AVE,565 South Van Ness Avenue [565 - 565 SOUTH VAN NESS AVE],SF3571015,14000,1996,CBES T24 1992,23,62,18.11004785,4.889952153,2015
2097,2097.xml,1,Office,534 - 548 04TH ST,548 4TH ST [534 - 548 04TH ST],SF3777017,28000,2004,CBES T24 2001,,,,,
2144,2144.xml,1,Office,1975 - 1975 POST ST,1975 POST ST [1975 - 1975 POST ST],SF0702039,36970,2001,CBES T24 2001,10,24,6.459330144,3.540669856,2015
2147,2147.xml,1,Office,625 - 625 TOWNSEND ST,625 TOWNSEND ST [625 - 625 TOWNSEND ST],SF3799008,55853,2008,CBES T24 2008,49,129,37.10526316,11.89473684,2015
2149,2149.xml,1,Retail,678 - 690 08TH ST,Sobel Design Building [678 - 690 08TH ST],SF3782001,7602,2001,CBES T24 2001,32,85,24.59330144,7.406698565,2015
2151,2151.xml,1,Retail,635 - 635 PORTOLA DR,Mollie Stones Market #8 [635 - 635 PORTOLA DR],SF2901B027,18665,1998,CBES T24 1992,272,760,226.9856459,45.01435407,2015
2165,2165.xml,1,Office,3201 - 3201 CALIFORNIA ST,3201 California Street [3201 - 3201 CALIFORNIA ST],SF1032002,22000,1999,CBES T24 1992,92,246,71.48325359,20.51674641,2015
2166,2166.xml,1,Retail,6333 - 6333 GEARY BLVD,6333 GEARY BLVD [6333 - 6333 GEARY BLVD],SF1517037,12360,2016,CBES T24 2008,146,355,96.50717703,49.49282297,2015
2175,2175.xml,1,Retail,1528 - 1540 PINE ST,1528 PINE ST [1528 - 1540 PINE ST],SF0646005,40199,2012,CBES T24 2008,29,67,17.48803828,11.51196172,2015
2206,2206.xml,1,Retail,1200 - 1200 CONNECTICUT ST,Building [1200 - 1200 CONNECTICUT ST],SF4324004,16670,2003,CBES T24 2001,,,,,
2214,2214.xml,1,Retail,1849 - 1849 VAN NESS AVE,1835 Van Ness Avenue; LLC [1849 - 1849 VAN NESS AVE],SF0618001,63608,1999,CBES T24 1992,23,72,22.89473684,0.105263158,2015
2223,2223.xml,1,Office,770 - 770 GOLDEN GATE AVE,Building [770 - 770 GOLDEN GATE AVE],SF0761061,36700,1973,CBES Pre-1978,,,,,
2238,2238.xml,1,Office,642 - 642 HARRISON ST,PMI - 642 Harrison Street [642 - 642 HARRISON ST],SF3750008,59169,2012,CBES T24 2008,54,171,54.68899522,-0.688995215,2015
2241,2241.xml,1,Office,301 - 329 EDDY ST,Building [301 - 329 EDDY ST],SF0338023,28600,1999,CBES T24 1992,,,,,
2270,2270.xml,1,Retail,445 - 445 GEARY ST,Curran Theater [445 - 445 GEARY ST],SF0316018A,29641,2013,CBES T24 2008,16,47,14.44976077,1.550239234,2014
2272,2272.xml,1,Office,1 - 1 SANSOME ST,One Sansome Street [1 - 1 SANSOME ST],SF0289003,33814,2015,CBES T24 2008,47,117,32.36842105,14.63157895,2014
2275,2275.xml,1,Retail,175 - 175 JEFFERSON ST,2770 TAYLOR ST [175 - 175 JEFFERSON ST],SF0013006,40017,1966,CBES Pre-1978,,,,,
2289,2289.xml,1,Office,735 - 745 BATTERY ST,735 BATTERY ST [735 - 745 BATTERY ST],SF0165017,60758,2009,CBES T24 2008,24,38,6.124401914,17.87559809,2015
2290,2290.xml,1,Office,3535 - 3535 GEARY BLVD,Steve Krieger - 3535 Geary [3535 - 3535 GEARY BLVD],SF1084005,11999,2009,CBES T24 2008,73,192,55.19138756,17.80861244,2015
2297,2297.xml,1,Retail,2700 - 2700 SLOAT BLVD,Building [2700 - 2700 SLOAT BLVD],SF2514008,6300,2008,CBES T24 2008,,,,,
2306,2306.xml,1,Retail,559 - 559 06TH ST,Building [559 - 559 06TH ST],SF3778017,15434,1936,CBES Pre-1978,,,,,
2429,2429.xml,1,Office,945 - 945 BATTERY ST,945 Battery St [945 - 945 BATTERY ST],SF0135001,59052,2000,CBES T24 1992,48,147,46.22009569,1.779904306,2015
2441,2441.xml,1,Retail,4700 - 4700 GEARY BLVD,Lamps Plus [4700 - 4700 GEARY BLVD],SF1443016,10106,1921,CBES Pre-1978,105,331,105.6220096,-0.622009569,2015
2445,2445.xml,1,Office,945 - 945 FRONT ST,945 FRONT ST [945 - 945 FRONT ST],SF0136002,20010,2013,CBES T24 2008,-1,-2,-0.454545455,-0.545454545,2015
2448,2448.xml,1,Retail,2415 - 2425 IRVING ST,Sunset Supermarket [2415 - 2425 IRVING ST],SF1780045,16138,1999,CBES T24 1992,152,453,140.3827751,11.61722488,2015
2475,2475.xml,1,Retail,870 - 870 BRANNAN ST,Building [870 - 870 BRANNAN ST],SF3780007,10720,2013,CBES T24 2008,,,,,
2508,2508.xml,1,Office,1007 - 1007 TARAVAL ST,Bank of America Parkside 00318-0000258 [1007 - 1007 TARAVAL ST],SF2405037,12040,2001,CBES T24 2001,32,78,21.24401914,10.75598086,2015
2531,2531.xml,1,Office,600 - 600 BATTERY ST,Building [600 - 600 BATTERY ST],SF0173009,32877,2001,CBES T24 2001,,,,,
2536,2536.xml,1,Retail,1051 - 1075 BATTERY ST,Williams Sonoma - Ice House 1&2 [1051 - 1075 BATTERY ST],SF0112001,60000,2008,CBES T24 2008,49,119,32.32057416,16.67942584,2015
2552,2552.xml,1,Retail,2761 - 2791 24TH ST,Building [2761 - 2791 24TH ST],SF4266036,14461,2009,CBES T24 2008,,,,,
2584,2584.xml,1,Office,717 - 717 BATTERY ST,717 BATTERY ST [717 - 717 BATTERY ST],SF0165022,32667,2009,CBES T24 2008,,,,,
2598,2598.xml,1,Office,98 - 98 BATTERY ST,98 Battery [98 - 98 BATTERY ST],SF0266008,65675,1999,CBES T24 1992,87,194,49.11483254,37.88516746,2015
2621,2621.xml,1,Office,150 - 150 GREEN ST,150 Green Street Associates; LP [150 - 150 GREEN ST],SF0112008,29772,2008,CBES T24 2008,53,133,37.00956938,15.99043062,2015
2624,2624.xml,1,Retail, -  UNKNOWN ,Building [ -  UNKNOWN ],SF6569036,11859,2003,CBES T24 2001,,,,,
2651,2651.xml,1,Retail,3855 - 3855 GEARY BLVD,3855 GEARY BLVD [3855 - 3855 GEARY BLVD],SF1542042,21500,2013,CBES T24 2008,22,41,8.564593301,13.4354067,2015
2657,2657.xml,1,Office,462 - 462 BRYANT ST,Building [462 - 462 BRYANT ST],SF3763015C,13125,2016,CBES T24 2008,,,,,
2670,2670.xml,1,Retail,246 - 250 POST ST,246 POST ST [246 - 250 POST ST],SF0294009,38475,2014,CBES T24 2008,,,,,
2680,2680.xml,1,Office,625 - 625 03RD ST,PMI - 625 3rd Street [625 - 625 03RD ST],SF3788045,45728,2012,CBES T24 2008,28,90,28.99521531,-0.995215311,2015
2695,2695.xml,1,Office,1 - 1 MONTGOMERY ST,One Montgomery Owner LLC [1 - 1 MONTGOMERY ST],SF0292002,30470,2012,CBES T24 2008,49,127,36.14832536,12.85167464,2015
2708,2708.xml,1,Retail,2520 - 2550 IRVING ST,SF Police Credit Union [2520 - 2550 IRVING ST],SF1724038,18561,1966,CBES Pre-1978,58,175,54.59330144,3.406698565,2015
2718,2718.xml,1,Retail,2690 - 2690 MISSION ST,4231-SAN FRANCISCO; CA [2690 - 2690 MISSION ST],SF3636011,22962,1999,CBES T24 1992,70,196,58.61244019,11.38755981,2015
2742,2742.xml,1,Retail,822 - 822 GEARY ST,Building [822 - 822 GEARY ST],SF0302009,8875,1941,CBES Pre-1978,,,,,
2756,2756.xml,1,Retail,1501 - 1501 DIVISADERO ST,Sinai Memorial Chapel [1501 - 1501 DIVISADERO ST],SF1079003,30226,1938,CBES Pre-1978,34,57,10.19138756,23.80861244,2015
2796,2796.xml,1,Office,1900 - 1900 NORIEGA ST,Noriega Capital Group LLC [1900 - 1900 NORIEGA ST],SF2023021,13917,2009,CBES T24 2008,36,107,33.11004785,2.889952153,2015
2807,2807.xml,1,Retail,3001 - 3001 TARAVAL ST,Walgreens #4570 [3001 - 3001 TARAVAL ST],SF2385046,10750,2011,CBES T24 2008,88,266,83.06220096,4.937799043,2015
2814,2814.xml,1,Retail,2900 - 2900 GEARY BLVD,2900 GEARY BLVD [2900 - 2900 GEARY BLVD],SF1068001J,12870,2011,CBES T24 2008,323,353,6.626794258,316.3732057,2015
2821,2821.xml,1,Office,972 - 976 MISSION ST,972 Mission LLC [972 - 976 MISSION ST],SF3704021,60000,1994,CBES T24 1992,18,54,16.79425837,1.205741627,2015
2827,2827.xml,1,Retail,1189 - 1189 POTRERO AVE,1189 Potrero Ave. [1189 - 1189 POTRERO AVE],SF4212019,10875,2014,CBES T24 2008,115,363,115.9090909,-0.909090909,2015
2840,2840.xml,1,Office,256 - 256 LAGUNA HONDA BLVD,Building [256 - 256 LAGUNA HONDA BLVD],SF2819020,10286,2014,CBES T24 2008,,,,,
2848,2848.xml,1,Office,460 - 460 BRYANT ST,460 BRYANT ST [460 - 460 BRYANT ST],SF3763015A,36075,2016,CBES T24 2008,,,,,
2852,2852.xml,1,Office,1975 - 1975 MARKET ST,1975 MARKET ST [1975 - 1975 MARKET ST],SF3534057,10500,2008,CBES T24 2008,,,,,
2868,2868.xml,1,Retail,301 - 301 PINE ST,301 Pine [301 - 301 PINE ST],SF0268001,15004,1909,CBES Pre-1978,186,399,97.46411483,88.53588517,2013
2892,2892.xml,1,Retail,4550 - 4550 MISSION ST,Building [4550 - 4550 MISSION ST],SF3148001,14507,2016,CBES T24 2008,,,,,
2941,2941.xml,1,Retail,701 - 701 CHESTNUT ST,701 Chestnut Street; LLC [701 - 701 CHESTNUT ST],SF0066001,20880,2003,CBES T24 2001,55,117,28.3492823,26.6507177,2015
2950,2950.xml,1,Office,520 - 550 WASHINGTON ST,Eclipse Champagne Building [520 - 550 WASHINGTON ST],SF0196024,30318,2009,CBES T24 2008,60,124,29.18660287,30.81339713,2015
2969,2969.xml,1,Retail,1661 - 1667 MARKET ST,1661 MARKET ST [1661 - 1667 MARKET ST],SF3504044,33000,2014,CBES T24 2008,30,83,24.64114833,5.358851675,2015
2984,2984.xml,1,Retail,1835 - 1835 VAN NESS AVE,Building [1835 - 1835 VAN NESS AVE],SF0618001B,49950,1999,CBES T24 1992,,,,,
2987,2987.xml,1,Office,1412 - 1414 VAN NESS AVE,1414 Van Ness [1412 - 1414 VAN NESS AVE],SF0667009,23190,2014,CBES T24 2008,24,75,23.8277512,0.172248804,2014
2992,2992.xml,1,Office,460 - 468 COLUMBUS AVE,Building [460 - 468 COLUMBUS AVE],SF0131019,9204,1936,CBES Pre-1978,,,,,
3005,3005.xml,1,Office,250 - 250 04TH ST,250 4TH ST [250 - 250 04TH ST],SF3733008,29590,2016,CBES T24 2008,,,,,
3009,3009.xml,1,Office,1563 - 1563 MISSION ST,1563 MISSION ST [1563 - 1563 MISSION ST],SF3511031,48492,2015,CBES T24 2008,,,,,
3024,3024.xml,1,Office,130 - 130 TOWNSEND ST,Building [130 - 130 TOWNSEND ST],SF3788008,9600,1999,CBES T24 1992,,,,,
3067,3067.xml,1,Retail,2301 - 2323 CHESTNUT ST,2301 CHESTNUT ST [2301 - 2323 CHESTNUT ST],SF0936001,11250,1999,CBES T24 1992,209,569,167.2488038,41.75119617,2015
3080,3080.xml,1,Office,1699 - 1699 VAN NESS AVE,1699 Van Ness [1699 - 1699 VAN NESS AVE],SF0642001,41100,2007,CBES T24 2005,67,142,34.28229665,32.71770335,2015
3107,3107.xml,1,Office,538 - 540 HOWARD ST,Temple Nightclub [538 - 540 HOWARD ST],SF3721015,43100,2008,CBES T24 2008,27,82,25.66985646,1.330143541,2015
3117,3117.xml,1,Retail,25 - 25 POINT LOBOS AVE,25 POINT LOBOS AVE [25 - 25 POINT LOBOS AVE],SF1493001,10430,2010,CBES T24 2008,67,210,66.81818182,0.181818182,2015
3152,3152.xml,1,Office,1256 - 1266 MARKET ST,1256 MARKET ST [1256 - 1266 MARKET ST],SF0355008,24804,2003,CBES T24 2001,,,,,
3153,3153.xml,1,Office,555 - 575 POLK ST,Building [555 - 575 POLK ST],SF0763001,19582,1997,CBES T24 1992,,,,,
3193,3193.xml,1,Office,951 - 951 HOWARD ST,Building [951 - 951 HOWARD ST],SF3732110,13050,1922,CBES Pre-1978,,,,,
3198,3198.xml,1,Retail,3360 - 3380 GEARY BLVD,3360 Geary Blvd [3360 - 3380 GEARY BLVD],SF1064032,29794,2010,CBES T24 2008,72,174,47.08133971,24.91866029,2015
3237,3237.xml,1,Office,394 - 394 PACIFIC AVE,PMI - 394 Pacific Avenue [394 - 394 PACIFIC AVE],SF0165007,54700,2009,CBES T24 2008,57,147,41.69856459,15.30143541,2015
3257,3257.xml,1,Retail,2120 - 2120 POLK ST,Building [2120 - 2120 POLK ST],SF0572017,19456,2001,CBES T24 2001,,,,,
3260,3260.xml,1,Retail,618 - 624 BROADWAY ,Building [618 - 624 BROADWAY ],SF0146004,9264,1941,CBES Pre-1978,,,,,
3265,3265.xml,1,Retail,235 - 245 JEFFERSON ST,DiMaggio Building [235 - 245 JEFFERSON ST],SF0012007A,15397,1937,CBES Pre-1978,250,466,97.36842105,152.6315789,2015
3286,3286.xml,1,Office,153 - 153 KEARNY ST,Building [153 - 153 KEARNY ST],SF0293010,60445,2010,CBES T24 2008,,,,,
3304,3304.xml,1,Office,2750 - 2750 VAN NESS AVE,2750 VAN NESS AVE [2750 - 2750 VAN NESS AVE],SF0502005G,24824,2011,CBES T24 2008,,,,,
3310,3310.xml,1,Retail,2205 - 2205 MISSION ST,2205 MISSION ST [2205 - 2205 MISSION ST],SF3590035,18345,2013,CBES T24 2008,,,,,
3335,3335.xml,1,Office,177 - 181 FREMONT ST,177 Fremont Street [177 - 181 FREMONT ST],SF3719011,34077,2016,CBES T24 2008,85,201,53.46889952,31.53110048,2012
3337,3337.xml,1,Office,1050 - 1050 BATTERY ST,LPF 1050 Battery [1050 - 1050 BATTERY ST],SF0111003,29304,2013,CBES T24 2008,49,105,25.62200957,23.37799043,2015
3350,3350.xml,1,Retail,2318 - 2318 FILLMORE ST,Building [2318 - 2318 FILLMORE ST],SF0612019,44000,2000,CBES T24 1992,,,,,
3393,3393.xml,1,Retail,715 - 715 HARRISON ST,715 HARRISON ST [715 - 715 HARRISON ST],SF3762118,14349,1998,CBES T24 1992,90,158,30.38277512,59.61722488,2015
3424,3424.xml,1,Office,101 - 101 HYDE ST,Building [101 - 101 HYDE ST],SF0346003A,7505,1960,CBES Pre-1978,,,,,
3425,3425.xml,1,Retail,701 - 701 PORTOLA DR,Building [701 - 701 PORTOLA DR],SF2901C001,9713,2014,CBES T24 2008,,,,,
3453,3453.xml,1,Retail,111 - 133 POWELL ST,111 POWELL ST [111 - 133 POWELL ST],SF0326004,29000,2012,CBES T24 2008,132,417,133.2057416,-1.205741627,2015
3480,3480.xml,1,Retail,3176 - 3176 17TH ST,Building [3176 - 3176 17TH ST],SF3571005,7931,2015,CBES T24 2008,,,,,
3501,3501.xml,1,Retail,4201 - 4201 18TH ST,4201 18TH ST [4201 - 4201 18TH ST],SF2694001,2764,2003,CBES T24 2001,341,1072,341.6028708,-0.602870813,2015
3509,3509.xml,1,Retail,1175 - 1175 COLUMBUS AVE,Building [1175 - 1175 COLUMBUS AVE],SF0044001,9203,2015,CBES T24 2008,,,,,
3517,3517.xml,1,Office,895 - 895 OFARRELL ST,Cinema 7 Inc [895 - 895 OFARRELL ST],SF0717013,12920,1999,CBES T24 1992,84,198,52.53588517,31.46411483,2015
3549,3549.xml,1,Office,16 - 16 WEST PORTAL AVE,Building [16 - 16 WEST PORTAL AVE],SF2931002,2600,2012,CBES T24 2008,,,,,
3552,3552.xml,1,Retail,1875 - 1877 GEARY BLVD,Building [1875 - 1877 GEARY BLVD],SF0707017,9378,2000,CBES T24 1992,,,,,
3553,3553.xml,1,Retail,635 - 635 BRANNAN ST,Building [635 - 635 BRANNAN ST],SF3785017,9100,1995,CBES T24 1992,,,,,
