building_id,xml_filename,should_run_simulation,OccupancyClassification,Address,BuildingName,ParcelNumber,FloorArea(ft2),YearBuilt,template,SiteEUI(kBtu/ft2),SourceEUI(kBtu/ft2),ElectricityEUI(kBtu/ft2),GasEUI(kBtu/ft2),YearEUI
151,151.xml,1,Retail,2000 - 2020 MARKET ST,Safeway 1507 [2000 - 2020 MARKET ST],SF3536001,69452,2003,CBES T24 2001,254,614,166.1722488,87.8277512,2015
223,223.xml,1,Office,444 - 444 BATTERY ST,Seven to Nine Maritime Plaza [444 - 444 BATTERY ST],SF0204019,16775,2009,CBES T24 2008,55,142,40.31100478,14.68899522,2015
237,237.xml,1,Retail,250 - 250 CLAY ST,Four Maritime Plaza [250 - 250 CLAY ST],SF0204023,16302,2009,CBES T24 2008,28,89,28.51674641,-0.516746411,2015
377,377.xml,1,Retail,1717 - 1717 HARRISON ST,Building [1717 - 1717 HARRISON ST],SF3901005,46743,2012,CBES T24 2008,,,,,
463,463.xml,1,Retail,1011 - 1011 BRYANT ST,1011 Bryant [1011 - 1011 BRYANT ST],SF3781011,67690,2016,CBES T24 2008,56,166,51.29186603,4.708133971,2015
473,473.xml,1,Retail,375 - 377 32ND AVE,01405 - 32nd Ave & Clement St [375 - 377 32ND AVE],SF1401002,34253,2013,CBES T24 2008,123,386,122.8947368,0.105263158,2014
484,484.xml,1,Office,400 - 400 HOWARD ST,400 Howard St [400 - 400 HOWARD ST],SF3720008,53750,2013,CBES T24 2008,67,211,67.29665072,-0.296650718,2015
557,557.xml,1,Retail,2350 - 2350 NORIEGA ST,Safeway 985 [2350 - 2350 NORIEGA ST],SF2019016,36120,2003,CBES T24 2001,194,531,156.6028708,37.39712919,2015
644,644.xml,1,Retail,1660 - 1660 PINE ST,1660 PINE ST [1660 - 1660 PINE ST],SF0647010,16359,2012,CBES T24 2008,,,,,
759,759.xml,1,Office,250 - 250 MASONIC AVE,Building [250 - 250 MASONIC AVE],SF1111003,56576,1955,CBES Pre-1978,,,,,
798,798.xml,1,Retail, -   ,Building [ -   ],SF0700027,19495,2007,CBES T24 2005,,,,,
816,816.xml,1,Retail,735 - 735 07TH AVE,735 7th Ave [735 - 735 07TH AVE],SF1650036,27725,2012,CBES T24 2008,291,685,181.5550239,109.4449761,2015
923,923.xml,1,Retail,701 - 707 BAY SHORE BLVD,701 BAY SHORE BLVD [701 - 707 BAY SHORE BLVD],SF5375059,31712,2011,CBES T24 2008,15,39,11.12440191,3.875598086,2014
1015,1015.xml,1,Retail,1750 - 1750 HARRISON ST,OfficeMax Store 582 [1750 - 1750 HARRISON ST],SF3529051,23520,1999,CBES T24 1992,69,218,69.64114833,-0.641148325,2015
1032,1032.xml,1,Office,1600 - 1600 BRYANT ST,1600 BRYANT ST [1600 - 1600 BRYANT ST],SF3928001,22650,2002,CBES T24 2001,,,,,
1090,1090.xml,1,Office,100 - 100 NORTH POINT ST,100 NORTH POINT ST [100 - 100 NORTH POINT ST],SF0018005,69204,1999,CBES T24 1992,108,227,54.35406699,53.64593301,2015
1142,1142.xml,1,Office,2835 - 2835 GEARY BLVD,2835 GEARY BLVD [2835 - 2835 GEARY BLVD],SF1091032,21000,1981,CBES T24 1978,41,122,37.77511962,3.224880383,2015
1152,1152.xml,1,Retail,4041 - 4099 GEARY BLVD,SAN FRANCISCO TOYOTA SERVICE DEPT. [4041 - 4099 GEARY BLVD],SF1540050,22846,1994,CBES T24 1992,37,111,34.5215311,2.4784689,2015
1202,1202.xml,1,Office,1850 - 1850 KEARNY ST,Building [1850 - 1850 KEARNY ST],SF0056003,17263,2014,CBES T24 2008,,,,,
1270,1270.xml,1,Office,620 - 630 03RD ST,630 3RD ST [620 - 630 03RD ST],SF3787005,41680,2008,CBES T24 2008,1412,4434,1412.15311,-0.153110048,2015
1272,1272.xml,1,Office,2300 - 2340 STOCKTON ST,2300 Stockton Street; LLC [2300 - 2340 STOCKTON ST],SF0018004,43366,1970,CBES Pre-1978,82,165,37.75119617,44.24880383,2015
1322,1322.xml,1,Office,190 - 190 LOMBARD ST,1620 Montgomery Street [190 - 190 LOMBARD ST],SF0059003,39796,2000,CBES T24 1992,41,108,31.07655502,9.923444976,2015
1337,1337.xml,1,Office,1750 - 1750 ALAMEDA ST,99 Rhode Island [1750 - 1750 ALAMEDA ST],SF3912002,30000,1998,CBES T24 1992,114,238,56.60287081,57.39712919,2015
1391,1391.xml,1,Office,2 - 2 BRYANT ST,2 Bryant Street [2 - 2 BRYANT ST],SF3768016,57131,2012,CBES T24 2008,28,89,28.51674641,-0.516746411,2015
1405,1405.xml,1,Retail,4175 - 4175 MISSION ST,Building [4175 - 4175 MISSION ST],SF5869013,24284,2002,CBES T24 2001,,,,,
1419,1419.xml,1,Office,400 - 420 TAYLOR ST,420 Taylor [400 - 420 TAYLOR ST],SF0316010,33626,2014,CBES T24 2008,128,260,60.09569378,67.90430622,2015
1443,1443.xml,1,Retail,233 - 261 ELLIS ST,Building [233 - 261 ELLIS ST],SF0331016,56718,2003,CBES T24 2001,,,,,
1444,1444.xml,1,Retail,753 - 777 DAVIS ST,Williams Sonoma - Davis Street [753 - 777 DAVIS ST],SF0140001,25194,2014,CBES T24 2008,56,148,42.67942584,13.32057416,2015
1479,1479.xml,1,Retail,4627 - 4645 MISSION ST,Building [4627 - 4645 MISSION ST],SF6083006,18579,2010,CBES T24 2008,,,,,
1481,1481.xml,1,Office,585 - 585 BUSH ST,Building [585 - 585 BUSH ST],SF0286017,47669,1936,CBES Pre-1978,,,,,
1494,1494.xml,1,Office,951 - 953 INDIANA ST,955 INDIANA ST [951 - 953 INDIANA ST],SF4106024,20146,2016,CBES T24 2008,93,291,92.51196172,0.488038278,2015
1497,1497.xml,1,Office,670 - 678 02ND ST,680 Second Street [670 - 678 02ND ST],SF3788043,59639,2006,CBES T24 2005,47,129,38.11004785,8.889952153,2015
1528,1528.xml,1,Retail,2935 - 2935 LARKIN ST,Building [2935 - 2935 LARKIN ST],SF0453002,29402,2016,CBES T24 2008,,,,,
1538,1538.xml,1,Retail,211 - 229 JEFFERSON ST,211 Jefferson St [211 - 229 JEFFERSON ST],SF0012001,24627,2011,CBES T24 2008,66,172,49.13875598,16.86124402,2015
1558,1558.xml,1,Retail,1878 - 1878 HAIGHT ST,690 Stanyan [1878 - 1878 HAIGHT ST],SF1228005,23060,2012,CBES T24 2008,279,690,189.9760766,89.02392344,2015
1574,1574.xml,1,Office,166 - 180 GOLDEN GATE AVE,166 Golden Gate Ave [166 - 180 GOLDEN GATE AVE],SF0344005,57171,1998,CBES T24 1992,9,26,7.918660287,1.081339713,2015
1577,1577.xml,1,Office,1125 - 1125 FILLMORE ST,Building [1125 - 1125 FILLMORE ST],SF0755013,18462,1951,CBES Pre-1978,,,,,
1584,1584.xml,1,Retail,1001 - 1025 COLUMBUS AVE,Bimbos 365 Club [1001 - 1025 COLUMBUS AVE],SF0050004,20058,1996,CBES T24 1992,,,,,
1598,1598.xml,1,Retail,180 - 180 11TH ST,1500 Howard Street [180 - 180 11TH ST],SF3511012,29221,2010,CBES T24 2008,25,60,16.14832536,8.851674641,2015
1602,1602.xml,1,Office, - 275 BRANNAN ST,275 BRANNAN ST [ - 275 BRANNAN ST],SF3789009,52182,2011,CBES T24 2008,32,96,29.85645933,2.14354067,2015
1627,1627.xml,1,Office,539 - 539 BRYANT ST,PMI - 539 Bryant Street [539 - 539 BRYANT ST],SF3776041,56382,2009,CBES T24 2008,46,94,21.86602871,24.13397129,2015
1668,1668.xml,1,Retail,1900 - 1900 19TH AVE,1900 19TH AVE [1900 - 1900 19TH AVE],SF2116028,23872,1999,CBES T24 1992,,,,,
1715,1715.xml,1,Retail,330 - 330 07TH AVE,Smart & Final [330 - 330 07TH AVE],SF1438029,17980,1994,CBES T24 1992,146,443,138.6124402,7.387559809,2015
1720,1720.xml,1,Office,25 - 25 MONTGOMERY ST,Building [25 - 25 MONTGOMERY ST],SF0292001A,28903,2012,CBES T24 2008,,,,,
1730,1730.xml,1,Office,1355 - 1355 SANSOME ST,Interland - 1355 Sansome [1355 - 1355 SANSOME ST],SF0085048,66732,2010,CBES T24 2008,81,194,52.1291866,28.8708134,2015
1734,1734.xml,1,Office,1275 - 1275 FAIRFAX AVE,1275 Fairfax Avenue [1275 - 1275 FAIRFAX AVE],SF5239024,31120,2012,CBES T24 2008,10,33,10.76555024,-0.765550239,2015
1738,1738.xml,1,Office,620 - 620 FOLSOM ST,620 Folsom Street [620 - 620 FOLSOM ST],SF3735010,48200,1999,CBES T24 1992,74,169,43.68421053,30.31578947,2015
1747,1747.xml,1,Retail,2630 - 2630 BAY SHORE BLVD,Building [2630 - 2630 BAY SHORE BLVD],SF6309B018,13526,2002,CBES T24 2001,,,,,
1752,1752.xml,1,Office,180 - 180 REDWOOD ST,Building [180 - 180 REDWOOD ST],SF0766013,39166,2012,CBES T24 2008,,,,,
1796,1796.xml,1,Office,634 - 636 02ND ST,Six Thirty-Four Second Street [634 - 636 02ND ST],SF3788038,48000,2010,CBES T24 2008,50,131,37.55980861,12.44019139,2015
1817,1817.xml,1,Office,125 - 128 KING ST,Byer California - 128 King St. [125 - 128 KING ST],SF3794023,46473,2002,CBES T24 2001,242,468,102.3444976,139.6555024,2015
1826,1826.xml,1,Retail,400 - 400 POST ST,400 POST ST [400 - 400 POST ST],SF0296006,61407,2008,CBES T24 2008,144,320,80.76555024,63.23444976,2015
1853,1853.xml,1,Office,295 - 299 BAY ST,295 BAY ST [295 - 299 BAY ST],SF0040017,26069,2014,CBES T24 2008,,,,,
