building_id,xml_filename,should_run_simulation,OccupancyClassification,FloorArea(ft2),YearBuilt,template,SiteEUI(kBtu/ft2),SourceEUI(kBtu/ft2),ElectricityEUI(kBtu/ft2),GasEUI(kBtu/ft2),YearEUI
484,484.xml,1,Office,53750,2013,CBES T24 2008,67,211,67.29665072,-0.296650718,2015
1497,1497.xml,1,Office,59639,2006,CBES T24 2005,47,129,38.11004785,8.889952153,2015
2297,2297.xml,1,Retail,6300,2008,CBES T24 2008,,,,,
4107,4107.xml,1,Retail,30333,1998,CBES T24 1992,181,299,52.1291866,128.8708134,2014
5837,5837.xml,1,Retail,5788,2011,CBES T24 2008,,,,,
7907,7907.xml,1,Retail,3667,2015,CBES T24 2008,,,,,
8761,8761.xml,1,Office,8624,1922,CBES Pre-1978,,,,,
9061,9061.xml,1,Retail,4400,2006,CBES T24 2005,,,,,
10229,10229.xml,1,Retail,7596,1909,CBES Pre-1978,,,,,
11231,11231.xml,1,Retail,1590,2003,CBES T24 2001,,,,,
11253,11253.xml,1,Retail,535,2004,CBES T24 2001,,,,,
11747,11747.xml,1,Office,4800,1980,CBES T24 1978,,,,,
13080,13080.xml,1,Retail,2743,2008,CBES T24 2008,,,,,
13128,13128.xml,1,Retail,596,1997,CBES T24 1992,,,,,
15571,15571.xml,1,Retail,950,2014,CBES T24 2008,,,,,
16352,16352.xml,1,Office,1689,1999,CBES T24 1992,,,,,
16967,16967.xml,1,Office,3295,1984,CBES T24 1978,,,,,
17565,17565.xml,1,Office,1235,2011,CBES T24 2008,,,,,
17941,17941.xml,1,Retail,2100,2010,CBES T24 2008,,,,,
18985,18985.xml,1,Retail,2500,2007,CBES T24 2005,,,,,
19016,19016.xml,1,Retail,2500,2015,CBES T24 2008,,,,,
19586,19586.xml,1,Retail,4375,1998,CBES T24 1992,,,,,
21253,21253.xml,1,Retail,2263,1993,CBES T24 1992,,,,,
28875,28875.xml,1,Retail,2100,2003,CBES T24 2001,,,,,
36982,36982.xml,1,Retail,1700,2012,CBES T24 2008,,,,,
45546,45546.xml,1,Office,316,2007,CBES T24 2005,,,,,
50933,50933.xml,1,Retail,1387,1997,CBES T24 1992,,,,,
51774,51774.xml,1,Office,417,2010,CBES T24 2008,,,,,
59356,59356.xml,1,Retail,1600,2003,CBES T24 2001,,,,,
60940,60940.xml,1,Retail,1600,1999,CBES T24 1992,,,,,
72065,72065.xml,1,Retail,1640,2004,CBES T24 2001,,,,,
144041,144041.xml,1,Retail,6732,1900,CBES Pre-1978,,,,,
