building_id,xml_filename,should_run_simulation,OccupancyClassification,FloorArea(ft2),YearBuilt,template,SiteEUI(kBtu/ft2),SourceEUI(kBtu/ft2),ElectricityEUI(kBtu/ft2),GasEUI(kBtu/ft2),YearEUI
151,151.xml,1,Retail,69452,2003,CBES T24 2001,254,614,166.1722488,87.8277512,2015
223,223.xml,1,Office,16775,2009,CBES T24 2008,55,142,40.31100478,14.68899522,2015
237,237.xml,1,Retail,16302,2009,CBES T24 2008,28,89,28.51674641,-0.516746411,2015
377,377.xml,1,Retail,46743,2012,CBES T24 2008,,,,,
463,463.xml,1,Retail,67690,2016,CBES T24 2008,56,166,51.29186603,4.708133971,2015
473,473.xml,1,Retail,34253,2013,CBES T24 2008,123,386,122.8947368,0.105263158,2014
484,484.xml,1,Office,53750,2013,CBES T24 2008,67,211,67.29665072,-0.296650718,2015
557,557.xml,1,Retail,36120,2003,CBES T24 2001,194,531,156.6028708,37.39712919,2015
644,644.xml,1,Retail,16359,2012,CBES T24 2008,,,,,
759,759.xml,1,Office,56576,1955,CBES Pre-1978,,,,,
798,798.xml,1,Retail,19495,2007,CBES T24 2005,,,,,
816,816.xml,1,Retail,27725,2012,CBES T24 2008,291,685,181.5550239,109.4449761,2015
923,923.xml,1,Retail,31712,2011,CBES T24 2008,15,39,11.12440191,3.875598086,2014
1015,1015.xml,1,Retail,23520,1999,CBES T24 1992,69,218,69.64114833,-0.641148325,2015
1032,1032.xml,1,Office,22650,2002,CBES T24 2001,,,,,
1090,1090.xml,1,Office,69204,1999,CBES T24 1992,108,227,54.35406699,53.64593301,2015
1142,1142.xml,1,Office,21000,1981,CBES T24 1978,41,122,37.77511962,3.224880383,2015
1152,1152.xml,1,Retail,22846,1994,CBES T24 1992,37,111,34.5215311,2.4784689,2015
1202,1202.xml,1,Office,17263,2014,CBES T24 2008,,,,,
1270,1270.xml,1,Office,41680,2008,CBES T24 2008,1412,4434,1412.15311,-0.153110048,2015
1272,1272.xml,1,Office,43366,1970,CBES Pre-1978,82,165,37.75119617,44.24880383,2015
1322,1322.xml,1,Office,39796,2000,CBES T24 1992,41,108,31.07655502,9.923444976,2015
1337,1337.xml,1,Office,30000,1998,CBES T24 1992,114,238,56.60287081,57.39712919,2015
1391,1391.xml,1,Office,57131,2012,CBES T24 2008,28,89,28.51674641,-0.516746411,2015
1405,1405.xml,1,Retail,24284,2002,CBES T24 2001,,,,,
1419,1419.xml,1,Office,33626,2014,CBES T24 2008,128,260,60.09569378,67.90430622,2015
1443,1443.xml,1,Retail,56718,2003,CBES T24 2001,,,,,
1444,1444.xml,1,Retail,25194,2014,CBES T24 2008,56,148,42.67942584,13.32057416,2015
1479,1479.xml,1,Retail,18579,2010,CBES T24 2008,,,,,
1481,1481.xml,1,Office,47669,1936,CBES Pre-1978,,,,,
1494,1494.xml,1,Office,20146,2016,CBES T24 2008,93,291,92.51196172,0.488038278,2015
1497,1497.xml,1,Office,59639,2006,CBES T24 2005,47,129,38.11004785,8.889952153,2015
1528,1528.xml,1,Retail,29402,2016,CBES T24 2008,,,,,
1538,1538.xml,1,Retail,24627,2011,CBES T24 2008,66,172,49.13875598,16.86124402,2015
1558,1558.xml,1,Retail,23060,2012,CBES T24 2008,279,690,189.9760766,89.02392344,2015
1574,1574.xml,1,Office,57171,1998,CBES T24 1992,9,26,7.918660287,1.081339713,2015
1577,1577.xml,1,Office,18462,1951,CBES Pre-1978,,,,,
1584,1584.xml,1,Retail,20058,1996,CBES T24 1992,,,,,
1598,1598.xml,1,Retail,29221,2010,CBES T24 2008,25,60,16.14832536,8.851674641,2015
1602,1602.xml,1,Office,52182,2011,CBES T24 2008,32,96,29.85645933,2.14354067,2015
1627,1627.xml,1,Office,56382,2009,CBES T24 2008,46,94,21.86602871,24.13397129,2015
1668,1668.xml,1,Retail,23872,1999,CBES T24 1992,,,,,
1715,1715.xml,1,Retail,17980,1994,CBES T24 1992,146,443,138.6124402,7.387559809,2015
1720,1720.xml,1,Office,28903,2012,CBES T24 2008,,,,,
1730,1730.xml,1,Office,66732,2010,CBES T24 2008,81,194,52.1291866,28.8708134,2015
1734,1734.xml,1,Office,31120,2012,CBES T24 2008,10,33,10.76555024,-0.765550239,2015
1738,1738.xml,1,Office,48200,1999,CBES T24 1992,74,169,43.68421053,30.31578947,2015
1747,1747.xml,1,Retail,13526,2002,CBES T24 2001,,,,,
1752,1752.xml,1,Office,39166,2012,CBES T24 2008,,,,,
1796,1796.xml,1,Office,48000,2010,CBES T24 2008,50,131,37.55980861,12.44019139,2015
1817,1817.xml,1,Office,46473,2002,CBES T24 2001,242,468,102.3444976,139.6555024,2015
1826,1826.xml,1,Retail,61407,2008,CBES T24 2008,144,320,80.76555024,63.23444976,2015
1853,1853.xml,1,Office,26069,2014,CBES T24 2008,,,,,
1860,1860.xml,1,Office,61600,2016,CBES T24 2008,20,58,17.70334928,2.296650718,2013
1866,1866.xml,1,Retail,43128,2011,CBES T24 2008,,,,,
1884,1884.xml,1,Retail,45220,2013,CBES T24 2008,,,,,
1896,1896.xml,1,Office,41226,2016,CBES T24 2008,34,105,33.15789474,0.842105263,2014
1908,1908.xml,1,Office,30480,1923,CBES Pre-1978,65,196,61.12440191,3.875598086,2015
1921,1921.xml,1,Office,30000,1995,CBES T24 1992,82,255,80.81339713,1.186602871,2015
1941,1941.xml,1,Office,65150,2010,CBES T24 2008,67,,,,2011
1998,1998.xml,1,Retail,22243,2015,CBES T24 2008,97,219,56.05263158,40.94736842,2015
2011,2011.xml,1,Retail,33310,2014,CBES T24 2008,,,,,
2035,2035.xml,1,Retail,13905,2003,CBES T24 2001,114,330,100.6220096,13.37799043,2015
2054,2054.xml,1,Office,31968,1920,CBES Pre-1978,3,5,0.885167464,2.114832536,2015
2055,2055.xml,1,Office,67000,1990,CBES T24 1978,,,,,
2091,2091.xml,1,Retail,14000,1996,CBES T24 1992,23,62,18.11004785,4.889952153,2015
