building_id,xml_filename,should_run_simulation,OccupancyClassification,FloorArea(ft2),YearBuilt,template,SiteEUI(kBtu/ft2),SourceEUI(kBtu/ft2),ElectricityEUI(kBtu/ft2),GasEUI(kBtu/ft2),YearEUI
8334,8334.xml,1,Office,15000,2007,CEC T24 2005,,,,,
8346,8346.xml,1,Retail,4649,1998,CEC T24 1992,,,,,
8359,8359.xml,1,Retail,5085,1934,CEC Pre-1978,,,,,
8362,8362.xml,1,Office,15350,2005,CEC T24 2005,,,,,
8370,8370.xml,1,Retail,4500,1934,CEC Pre-1978,,,,,
8378,8378.xml,1,Retail,3400,2013,CEC T24 2008,,,,,
8383,8383.xml,1,Office,5118,2015,CEC T24 2008,,,,,
8411,8411.xml,1,Retail,4860,1968,CEC Pre-1978,,,,,
8415,8415.xml,1,Retail,4730,2010,CEC T24 2008,,,,,
8418,8418.xml,1,Retail,5000,1922,CEC Pre-1978,,,,,
8424,8424.xml,1,Office,6650,2013,CEC T24 2008,,,,,
8432,8432.xml,1,Retail,4625,2016,CEC T24 2008,,,,,
8434,8434.xml,1,Retail,4384,2014,CEC T24 2008,,,,,
8440,8440.xml,1,Retail,3800,1998,CEC T24 1992,,,,,
8457,8457.xml,1,Office,3804,2002,CEC T24 2001,,,,,
8458,8458.xml,1,Retail,4700,2010,CEC T24 2008,,,,,
8460,8460.xml,1,Retail,7002,2014,CEC T24 2008,,,,,
8462,8462.xml,1,Retail,11268,2000,CEC T24 1992,102,181,35.35885167,66.64114833,2014
8470,8470.xml,1,Retail,7944,1997,CEC T24 1992,,,,,
8473,8473.xml,1,Retail,9000,2015,CEC T24 2008,,,,,
8489,8489.xml,1,Retail,4406,2000,CEC T24 1992,,,,,
8498,8498.xml,1,Retail,4800,2015,CEC T24 2008,,,,,
8499,8499.xml,1,Office,29843,1999,CEC T24 1992,94,213,54.68899522,39.31100478,2015
8500,8500.xml,1,Retail,10584,2011,CEC T24 2008,,,,,
8516,8516.xml,1,Office,9600,2008,CEC T24 2008,,,,,
8519,8519.xml,1,Retail,4306,1999,CEC T24 1992,,,,,
8531,8531.xml,1,Retail,2380,1995,CEC T24 1992,,,,,
8536,8536.xml,1,Retail,15706,2007,CEC T24 2005,,,,,
8564,8564.xml,1,Office,5318,1956,CEC Pre-1978,,,,,
8585,8585.xml,1,Office,7440,2003,CEC T24 2001,,,,,
8605,8605.xml,1,Office,6530,2015,CEC T24 2008,,,,,
8614,8614.xml,1,Retail,4290,1999,CEC T24 1992,,,,,
8627,8627.xml,1,Retail,5976,1995,CEC T24 1992,,,,,
8631,8631.xml,1,Office,4170,2013,CEC T24 2008,,,,,
8634,8634.xml,1,Retail,3000,1997,CEC T24 1992,,,,,
8637,8637.xml,1,Retail,9538,2014,CEC T24 2008,,,,,
8659,8659.xml,1,Retail,4658,2013,CEC T24 2008,,,,,
8662,8662.xml,1,Retail,18128,1909,CEC Pre-1978,,,,,
8663,8663.xml,1,Office,4320,2014,CEC T24 2008,,,,,
8684,8684.xml,1,Office,9156,1999,CEC T24 1992,,,,,
8712,8712.xml,1,Retail,8500,2016,CEC T24 2008,,,,,
8716,8716.xml,1,Office,12450,2009,CEC T24 2008,,,,,
8721,8721.xml,1,Retail,9000,2014,CEC T24 2008,,,,,
8734,8734.xml,1,Office,19875,2014,CEC T24 2008,130,330,92.58373206,37.41626794,2015
8742,8742.xml,1,Office,7870,1995,CEC T24 1992,,,,,
8749,8749.xml,1,Office,7075,2011,CEC T24 2008,,,,,
8751,8751.xml,1,Retail,4500,1996,CEC T24 1992,,,,,
8761,8761.xml,1,Office,8624,1922,CEC Pre-1978,,,,,
8762,8762.xml,1,Retail,17000,2015,CEC T24 2008,,,,,
8769,8769.xml,1,Retail,4464,1999,CEC T24 1992,,,,,
8776,8776.xml,1,Retail,3966,2005,CEC T24 2005,,,,,
8814,8814.xml,1,Retail,4750,2015,CEC T24 2008,,,,,
8823,8823.xml,1,Office,7900,1995,CEC T24 1992,,,,,
8838,8838.xml,1,Office,5485,1995,CEC T24 1992,,,,,
8843,8843.xml,1,Office,9000,2008,CEC T24 2008,,,,,
8867,8867.xml,1,Retail,4000,2016,CEC T24 2008,,,,,
8888,8888.xml,1,Office,18908,2008,CEC T24 2008,53,139,39.88038278,13.11961722,2015
8898,8898.xml,1,Office,25643,2013,CEC T24 2008,,,,,
8954,8954.xml,1,Retail,6320,1996,CEC T24 1992,,,,,
9017,9017.xml,1,Office,8856,1923,CEC Pre-1978,,,,,
9030,9030.xml,1,Retail,5365,2003,CEC T24 2001,,,,,
9043,9043.xml,1,Retail,6050,1930,CEC Pre-1978,,,,,
9055,9055.xml,1,Retail,4275,2006,CEC T24 2005,,,,,
9058,9058.xml,1,Office,7840,2012,CEC T24 2008,,,,,
9061,9061.xml,1,Retail,4400,2006,CEC T24 2005,,,,,
9079,9079.xml,1,Office,9236,2013,CEC T24 2008,,,,,
9086,9086.xml,1,Office,20784,2003,CEC T24 2001,48,109,28.03827751,19.96172249,2015
9095,9095.xml,1,Office,8000,2015,CEC T24 2008,,,,,
9107,9107.xml,1,Retail,4437,2014,CEC T24 2008,,,,,
9119,9119.xml,1,Office,23534,2002,CEC T24 2001,,,,,
9126,9126.xml,1,Retail,10580,1916,CEC Pre-1978,435,861,193.4210526,241.5789474,2015
9155,9155.xml,1,Office,7275,2015,CEC T24 2008,,,,,
9157,9157.xml,1,Retail,3780,2000,CEC T24 1992,,,,,
9169,9169.xml,1,Retail,3600,2010,CEC T24 2008,,,,,
9179,9179.xml,1,Office,25650,2010,CEC T24 2008,53,149,44.66507177,8.33492823,2015
9186,9186.xml,1,Office,16900,2010,CEC T24 2008,36,90,24.97607656,11.02392344,2015
9203,9203.xml,1,Office,11422,1900,CEC Pre-1978,,,,,
9208,9208.xml,1,Office,15660,2013,CEC T24 2008,,,,,
9211,9211.xml,1,Office,5700,2014,CEC T24 2008,,,,,
